"","response_uuid","Age","Trial","Usable frames (%)","synch_good"
"1","004732ad-6b7f-4b0c-861b-48fe2a7f3287","6","1",0.70573566084788,0.438162544169611
"2","004732ad-6b7f-4b0c-861b-48fe2a7f3287","6","2",0.526184538653367,0.578199052132701
"3","004732ad-6b7f-4b0c-861b-48fe2a7f3287","6","3",0.64,0.6953125
"4","004732ad-6b7f-4b0c-861b-48fe2a7f3287","6","4",0.818407960199005,0.629179331306991
"5","004732ad-6b7f-4b0c-861b-48fe2a7f3287","6","5",0.596009975062344,0.292887029288703
"6","004732ad-6b7f-4b0c-861b-48fe2a7f3287","6","6",0.41645885286783,0.832335329341317
"7","036015a7-933e-4753-84c7-c76bec88a304","12","1",0.870324189526185,0.289398280802292
"8","036015a7-933e-4753-84c7-c76bec88a304","12","2",0.817955112219451,0.61280487804878
"9","036015a7-933e-4753-84c7-c76bec88a304","12","3",0.7975,0.294670846394984
"10","036015a7-933e-4753-84c7-c76bec88a304","12","4",0.758706467661692,0.540983606557377
"11","036015a7-933e-4753-84c7-c76bec88a304","12","5",0.778054862842893,0.237179487179487
"12","036015a7-933e-4753-84c7-c76bec88a304","12","6",0.623441396508728,0.784
"13","04d5f486-93c0-4fa9-b2f8-d0abdef53e6c","12","1",0.937655860349127,0.226063829787234
"14","04d5f486-93c0-4fa9-b2f8-d0abdef53e6c","12","2",0.703241895261845,0.74468085106383
"15","04d5f486-93c0-4fa9-b2f8-d0abdef53e6c","12","3",0.5275,0.464454976303318
"16","04d5f486-93c0-4fa9-b2f8-d0abdef53e6c","12","4",0.917910447761194,0.924119241192412
"17","04d5f486-93c0-4fa9-b2f8-d0abdef53e6c","12","5",0.72069825436409,0.328719723183391
"18","04d5f486-93c0-4fa9-b2f8-d0abdef53e6c","12","6",0.683291770573566,0.328467153284672
"19","06593bf2-f310-46bb-8a43-9c72dc7811b0","6","1",0.790523690773067,0.630914826498423
"20","06593bf2-f310-46bb-8a43-9c72dc7811b0","6","2",0.678304239401496,0.408088235294118
"21","06593bf2-f310-46bb-8a43-9c72dc7811b0","6","3",0.505,0.797029702970297
