"","response_uuid","Trial_tot","Age","Usable frames (%)","novel_good_avg","Stimulus.type"
"49","1afcb3c4-2834-4ba8-bb46-e4d987cb35ec","2","12",0.59504132231405,0.540228468113083,"Social"
"50","1afcb3c4-2834-4ba8-bb46-e4d987cb35ec","3","12",0.818930041152263,0.404859348287831,"Social"
"51","1afcb3c4-2834-4ba8-bb46-e4d987cb35ec","4","12",0.520661157024793,0.404761904761905,"Nonsocial"
"52","1afcb3c4-2834-4ba8-bb46-e4d987cb35ec","6","12",0.679012345679012,0.696969696969697,"Nonsocial"
"53","1b9291ee-7904-4319-a182-222c2f7e9ddb","1","12",0.549586776859504,0.407894736842105,"Social"
"54","1b9291ee-7904-4319-a182-222c2f7e9ddb","3","12",0.590909090909091,0.377622377622378,"Nonsocial"
"55","1b9291ee-7904-4319-a182-222c2f7e9ddb","5","12",0.37603305785124,0.725274725274725,"Nonsocial"
"56","1b9291ee-7904-4319-a182-222c2f7e9ddb","6","12",0.892561983471074,0.555206149545772,"Social"
"57","1c0a5b8d-7617-42eb-a1f4-71e8d2c8f51e","1","12",0.71900826446281,0.396551724137931,"Nonsocial"
"58","1c0a5b8d-7617-42eb-a1f4-71e8d2c8f51e","2","12",0.611570247933884,0.716216216216216,"Social"
"59","1d11ddd0-c1f0-4d87-b732-f16083f88e22","1","6",0.731404958677686,0.414344947988652,"Social"
"60","1d11ddd0-c1f0-4d87-b732-f16083f88e22","2","6",0.698347107438017,0.583797424295162,"Nonsocial"
"61","1d11ddd0-c1f0-4d87-b732-f16083f88e22","3","6",0.510288065843621,0.667502179598954,"Nonsocial"
"62","1d11ddd0-c1f0-4d87-b732-f16083f88e22","4","6",0.954732510288066,0.577663177339901,"Social"
"63","1d11ddd0-c1f0-4d87-b732-f16083f88e22","5","6",0.681818181818182,0.465034965034965,"Nonsocial"
"64","1d11ddd0-c1f0-4d87-b732-f16083f88e22","6","6",0.604938271604938,0.82312925170068,"Social"
"65","1da22c85-469f-44c2-9bb3-312daf3b21a5","1","12",0.809917355371901,0.530746509129968,"Nonsocial"
"66","1da22c85-469f-44c2-9bb3-312daf3b21a5","2","12",0.921487603305785,0.725467759393846,"Social"
"67","1da22c85-469f-44c2-9bb3-312daf3b21a5","3","12",0.823045267489712,0.625629921259843,"Social"
"68","1da22c85-469f-44c2-9bb3-312daf3b21a5","4","12",0.929752066115702,0.32494623655914,"Nonsocial"
"69","1da22c85-469f-44c2-9bb3-312daf3b21a5","5","12",0.694214876033058,0.47779304029304,"Social"
