"","response_uuid","Age","Trial","Usable frames (%)","change_good","Stimulus type"
"50","bc7c22c3-c29a-44f0-a262-0e3ad8508c8c","6",1,0.780487804878049,0.69375,"Small"
"51","bc7c22c3-c29a-44f0-a262-0e3ad8508c8c","6",2,0.717532467532468,0.486425339366516,"Small"
"52","bc7c22c3-c29a-44f0-a262-0e3ad8508c8c","6",3,0.331715210355987,0.639024390243902,"Small"
"53","bc7c22c3-c29a-44f0-a262-0e3ad8508c8c","6",4,0.344715447154472,0.679245283018868,"Small"
"54","c053c0b9-6594-4a4e-9ddf-8c546bc2865a","6",1,0.87479674796748,0.743494423791822,"Small"
"55","c053c0b9-6594-4a4e-9ddf-8c546bc2865a","6",2,0.86525974025974,0.307692307692308,"Small"
"56","c053c0b9-6594-4a4e-9ddf-8c546bc2865a","6",3,0.741100323624595,0.563318777292576,"Small"
"57","c053c0b9-6594-4a4e-9ddf-8c546bc2865a","6",4,0.39349593495935,0.541322314049587,"Small"
"58","c26eeff1-cf6b-4e88-b21f-10386bc08b06","6",1,0.754471544715447,0.584051724137931,"Small"
"59","c26eeff1-cf6b-4e88-b21f-10386bc08b06","6",2,0.774350649350649,0.681341719077568,"Small"
"60","c4cca634-6ed3-4194-a6ac-01ee45a90f8d","12",1,0.80650406504065,0.643145161290323,"Small"
"61","c4cca634-6ed3-4194-a6ac-01ee45a90f8d","12",2,0.74025974025974,0.730263157894737,"Small"
"62","c4cca634-6ed3-4194-a6ac-01ee45a90f8d","12",3,0.731391585760518,0.896017699115044,"Small"
"63","c4cca634-6ed3-4194-a6ac-01ee45a90f8d","12",4,0.808130081300813,0.816901408450704,"Small"
"64","c5ad0dd5-2f09-4be0-bd65-35351e595938","6",1,0.710569105691057,0.521739130434783,"Small"
"65","c5ad0dd5-2f09-4be0-bd65-35351e595938","6",2,0.599025974025974,0.300813008130081,"Small"
"66","c5ad0dd5-2f09-4be0-bd65-35351e595938","6",3,0.367313915857605,0.898678414096916,"Small"
"67","c7bac301-6eb8-4f06-b26a-019c0a7d626c","12",1,0.8,0.723577235772358,"Big"
"68","c7bac301-6eb8-4f06-b26a-019c0a7d626c","12",2,0.722402597402597,0.444943820224719,"Big"
"69","c7bac301-6eb8-4f06-b26a-019c0a7d626c","12",3,0.936893203883495,0.195164075993092,"Big"
"70","c7bac301-6eb8-4f06-b26a-019c0a7d626c","12",4,0.692682926829268,0.34037558685446,"Big"
"71","e1de4a92-a702-4f77-92cb-437799e28dae","6",1,0.79349593495935,0.766393442622951,"Big"
