"","response_uuid","Age","Trial","Usable frames (%)","novel_good","Stimulus type"
"1","05a6c763-c9ae-47e0-acc5-a109c535a438","6","1",0.880681818181818,0.513978494623656,"S"
"2","05a6c763-c9ae-47e0-acc5-a109c535a438","6","2",0.585551330798479,0.503246753246753,"NS"
"3","05a6c763-c9ae-47e0-acc5-a109c535a438","6","3",0.861742424242424,0.756043956043956,"S"
"4","05a6c763-c9ae-47e0-acc5-a109c535a438","6","4",0.64828897338403,0.498533724340176,"NS"
"5","05a6c763-c9ae-47e0-acc5-a109c535a438","6","5",0.795066413662239,0.732696897374702,"S"
"6","05a6c763-c9ae-47e0-acc5-a109c535a438","6","6",0.537142857142857,0.358156028368794,"NS"
"7","1eeef37c-1bd9-4ff6-8717-698e334f3907","6","1",0.818181818181818,0.555555555555556,"S"
"8","1eeef37c-1bd9-4ff6-8717-698e334f3907","6","4",0.549429657794677,0.411764705882353,"S"
"9","1eeef37c-1bd9-4ff6-8717-698e334f3907","6","5",0.461100569259962,0.555555555555556,"NS"
"10","1eeef37c-1bd9-4ff6-8717-698e334f3907","6","6",0.56952380952381,0.474916387959866,"S"
"11","219199ee-c779-4194-bc1b-be61dfc4c95a","12","1",0.59469696969697,0.480891719745223,"S"
"12","219199ee-c779-4194-bc1b-be61dfc4c95a","12","2",0.519011406844107,0.736263736263736,"NS"
"13","219199ee-c779-4194-bc1b-be61dfc4c95a","12","3",0.573863636363636,0.452145214521452,"NS"
"14","219199ee-c779-4194-bc1b-be61dfc4c95a","12","4",0.505703422053232,0.721804511278195,"S"
"15","219199ee-c779-4194-bc1b-be61dfc4c95a","12","5",0.42314990512334,0.587443946188341,"NS"
"16","23f96111-a5ec-40c5-9d5e-c493fd5fb636","6","1",0.439393939393939,0.344827586206897,"NS"
"17","23f96111-a5ec-40c5-9d5e-c493fd5fb636","6","2",0.623574144486692,0.560975609756098,"S"
"18","23f96111-a5ec-40c5-9d5e-c493fd5fb636","6","3",0.691287878787879,0.613698630136986,"NS"
"19","23f96111-a5ec-40c5-9d5e-c493fd5fb636","6","4",0.633079847908745,0.648648648648649,"S"
"20","23f96111-a5ec-40c5-9d5e-c493fd5fb636","6","5",0.333965844402277,0.778409090909091,"NS"
"21","37dfe9fb-dbf0-4b7b-a6c6-4e1c750fa6a5","12","1",0.674242424242424,0.387640449438202,"NS"
"22","37dfe9fb-dbf0-4b7b-a6c6-4e1c750fa6a5","12","2",0.61787072243346,0.569230769230769,"S"
"23","37dfe9fb-dbf0-4b7b-a6c6-4e1c750fa6a5","12","3",0.333333333333333,0.681818181818182,"S"
"24","37dfe9fb-dbf0-4b7b-a6c6-4e1c750fa6a5","12","4",0.414448669201521,0.619266055045872,"NS"
"25","38a73cfc-a0db-40e7-a592-63ae9c363c2c","12","1",0.56439393939394,0.597315436241611,"NS"
"26","38a73cfc-a0db-40e7-a592-63ae9c363c2c","12","2",0.800380228136882,0.608076009501188,"S"
"27","38a73cfc-a0db-40e7-a592-63ae9c363c2c","12","3",0.761363636363636,0.552238805970149,"S"
"28","38a73cfc-a0db-40e7-a592-63ae9c363c2c","12","4",0.541825095057034,0.564912280701754,"NS"
"29","38a73cfc-a0db-40e7-a592-63ae9c363c2c","12","5",0.550284629981025,0.544827586206897,"NS"
"30","38a73cfc-a0db-40e7-a592-63ae9c363c2c","12","6",0.67047619047619,0.653409090909091,"S"
"31","41fff0a2-aa5e-46ff-adc8-a2c557fcdb86","12","1",0.617424242424242,0.460122699386503,"S"
"32","41fff0a2-aa5e-46ff-adc8-a2c557fcdb86","12","2",0.697718631178707,0.444141689373297,"NS"
"33","41fff0a2-aa5e-46ff-adc8-a2c557fcdb86","12","3",0.611742424242424,0.61609907120743,"NS"
"34","41fff0a2-aa5e-46ff-adc8-a2c557fcdb86","12","4",0.749049429657795,0.49492385786802,"S"
"35","41fff0a2-aa5e-46ff-adc8-a2c557fcdb86","12","5",0.592030360531309,0.512820512820513,"NS"
"36","42df5ffb-87c4-4422-8da8-f0a29c2d26a5","6","1",0.84469696969697,0.63677130044843,"S"
"37","42df5ffb-87c4-4422-8da8-f0a29c2d26a5","6","2",0.671102661596958,0.637393767705382,"NS"
"38","42df5ffb-87c4-4422-8da8-f0a29c2d26a5","6","3",0.721590909090909,0.590551181102362,"NS"
"39","42df5ffb-87c4-4422-8da8-f0a29c2d26a5","6","4",0.640684410646388,0.599406528189911,"S"
"40","42df5ffb-87c4-4422-8da8-f0a29c2d26a5","6","6",0.617142857142857,0.62962962962963,"S"
"41","4b9a5d8d-abb4-4e6d-a86e-094178e937c8","12","1",0.867424242424242,0.565502183406114,"NS"
"42","4b9a5d8d-abb4-4e6d-a86e-094178e937c8","12","2",0.73574144486692,0.563307493540052,"S"
"43","4b9a5d8d-abb4-4e6d-a86e-094178e937c8","12","3",0.549242424242424,0.455172413793103,"S"
"44","4b9a5d8d-abb4-4e6d-a86e-094178e937c8","12","4",0.779467680608365,0.485365853658537,"NS"
"45","4b9a5d8d-abb4-4e6d-a86e-094178e937c8","12","5",0.419354838709677,0.592760180995475,"S"
"46","510ce501-f2b4-4c71-baef-5722ca1d840b","12","1",0.65530303030303,0.604046242774566,"NS"
